# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.67100e+06
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.1404e+00  1.2306e+02  6.4429e+05  7.5965e+05 
 8.1443e+00  1.2306e+02  9.0098e+05  1.0178e+06 
 8.1482e+00  1.2306e+02  1.0894e+06  1.1897e+06 
 8.1521e+00  1.2306e+02  1.1377e+06  1.2135e+06 
 8.1560e+00  1.2306e+02  1.0230e+06  1.0800e+06 
 8.1599e+00  1.2306e+02  7.5191e+05  8.3866e+05 
 8.1638e+00  1.2306e+02  4.1352e+05  5.6816e+05 
 8.1677e+00  1.2306e+02  2.5922e+05  3.3577e+05 
 8.1716e+00  1.2306e+02  2.7261e+05  1.7306e+05 
 8.1755e+00  1.2306e+02  2.1771e+05  7.7755e+04 
 8.1794e+00  1.2306e+02  2.1393e+05  3.0406e+04 
 8.1833e+00  1.2306e+02  2.5933e+05  1.0301e+04 
 8.1872e+00  1.2306e+02  3.0183e+05  2.9739e+03 
 8.1911e+00  1.2306e+02  3.2189e+05  6.8055e+02 
 8.1950e+00  1.2306e+02  3.2117e+05  6.9441e+01 
 8.1989e+00  1.2306e+02  3.0075e+05 -6.2938e+01 
 8.2028e+00  1.2306e+02  2.7009e+05 -7.9915e+01 
 8.2067e+00  1.2306e+02  2.3881e+05 -7.4297e+01 
 8.2106e+00  1.2306e+02  2.1139e+05 -6.6047e+01 
 8.2145e+00  1.2306e+02  1.8131e+05 -5.8602e+01 
 8.2184e+00  1.2306e+02  1.4174e+05 -5.2269e+01 
 8.2223e+00  1.2306e+02  9.6336e+04 -4.6892e+01 
 8.2262e+00  1.2306e+02  5.2512e+04 -4.2297e+01 
 8.2301e+00  1.2306e+02  1.8028e+04 -3.8340e+01 
  
 8.0702e+00  1.2311e+02  1.6183e+05 -1.6876e+02 
 8.0741e+00  1.2311e+02  1.7693e+05 -1.8592e+02 
 8.0780e+00  1.2311e+02  1.4576e+05 -2.0582e+02 
 8.0819e+00  1.2311e+02  9.2873e+04 -2.2905e+02 
 8.0858e+00  1.2311e+02  3.5249e+04 -2.5636e+02 
 8.0897e+00  1.2311e+02 -2.2542e+04 -2.8856e+02 
 8.0936e+00  1.2311e+02 -1.1326e+05 -3.2535e+02 
 8.0975e+00  1.2311e+02 -2.3077e+04 -3.5804e+02 
 8.1014e+00  1.2311e+02 -7.5003e+03 -3.3088e+02 
 8.1053e+00  1.2311e+02  5.7438e+04  3.0006e+01 
 8.1092e+00  1.2311e+02  1.4120e+05  1.8501e+03 
 8.1131e+00  1.2311e+02  2.0631e+05  9.0439e+03 
 8.1170e+00  1.2311e+02  2.5201e+05  3.3089e+04 
 8.1209e+00  1.2311e+02  3.3701e+05  1.0203e+05 
 8.1248e+00  1.2311e+02  5.1287e+05  2.7181e+05 
 8.1287e+00  1.2311e+02  8.2730e+05  6.2971e+05 
 8.1326e+00  1.2311e+02  1.4140e+06  1.2713e+06 
 8.1365e+00  1.2311e+02  2.3379e+06  2.2383e+06 
 8.1404e+00  1.2311e+02  3.4728e+06  3.4374e+06 
 8.1443e+00  1.2311e+02  4.5584e+06  4.6055e+06 
 8.1482e+00  1.2311e+02  5.2899e+06  5.3835e+06 
 8.1521e+00  1.2311e+02  5.4326e+06  5.4910e+06 
 8.1560e+00  1.2311e+02  4.9231e+06  4.8871e+06 
 8.1599e+00  1.2311e+02  3.9309e+06  3.7950e+06 
 8.1638e+00  1.2311e+02  2.7608e+06  2.5710e+06 
 8.1677e+00  1.2311e+02  1.7208e+06  1.5194e+06 
 8.1716e+00  1.2311e+02  9.0048e+05  7.8311e+05 
 8.1755e+00  1.2311e+02  3.3110e+05  3.5184e+05 
 8.1794e+00  1.2311e+02  1.1293e+05  1.3759e+05 
