# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.06078e+04
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.2528e+00  1.0845e+02  6.2156e+04  2.3976e+04 
 7.2568e+00  1.0845e+02  6.7316e+04  3.2057e+04 
 7.2607e+00  1.0845e+02  7.6811e+04  4.4884e+04 
 7.2646e+00  1.0845e+02  9.3999e+04  6.4897e+04 
 7.2685e+00  1.0845e+02  1.2314e+05  9.5225e+04 
 7.2724e+00  1.0845e+02  1.6890e+05  1.3949e+05 
 7.2763e+00  1.0845e+02  2.3529e+05  2.0137e+05 
 7.2802e+00  1.0845e+02  3.2407e+05  2.8383e+05 
 7.2841e+00  1.0845e+02  4.3538e+05  3.8817e+05 
 7.2880e+00  1.0845e+02  5.6611e+05  5.1301e+05 
 7.2919e+00  1.0845e+02  7.0872e+05  6.5346e+05 
 7.2958e+00  1.0845e+02  8.5247e+05  8.0079e+05 
 7.2998e+00  1.0845e+02  9.8446e+05  9.4274e+05 
 7.3037e+00  1.0845e+02  1.0909e+06  1.0646e+06 
 7.3076e+00  1.0845e+02  1.1593e+06  1.1511e+06 
 7.3115e+00  1.0845e+02  1.1812e+06  1.1896e+06 
 7.3154e+00  1.0845e+02  1.1536e+06  1.1739e+06 
 7.3193e+00  1.0845e+02  1.0797e+06  1.1066e+06 
 7.3232e+00  1.0845e+02  9.6878e+05  9.9806e+05 
 7.3271e+00  1.0845e+02  8.3314e+05  8.6279e+05 
 7.3310e+00  1.0845e+02  6.8665e+05  7.1608e+05 
 7.3349e+00  1.0845e+02  5.4282e+05  5.7140e+05 
 7.3388e+00  1.0845e+02  4.1255e+05  4.3909e+05 
 7.3427e+00  1.0845e+02  3.0281e+05  3.2565e+05 
 7.3467e+00  1.0845e+02  2.1595e+05  2.3389e+05 
 7.3506e+00  1.0845e+02  1.5007e+05  1.6352e+05 
 7.3545e+00  1.0845e+02  1.0256e+05  1.1218e+05 
 7.3584e+00  1.0845e+02  7.0491e+04  7.6364e+04 
 7.3623e+00  1.0845e+02  4.8998e+04  5.2371e+04 
 7.3662e+00  1.0845e+02  3.5163e+04  3.6821e+04 
 7.3701e+00  1.0845e+02  2.7318e+04  2.6969e+04 
 7.3740e+00  1.0845e+02  2.3564e+04  2.0776e+04 
 7.3779e+00  1.0845e+02  2.2257e+04  1.6836e+04 
 7.3818e+00  1.0845e+02  2.2089e+04  1.4238e+04 
